sample_id	species	petal_length	petal_width	sepal_length	sepal_width
VeqxTj7HsOytlDc	setosa	1.386142392123051	0.1169333333960591	4.963505309080153	3.1150148573198377
O3^muUuTPXgCgBZ	versicolor	3.6437528626459152	1.4898827075101526	5.474880254886754	2.6058388426455625
MSpolLlZEykfAPj	virginica	4.581417869606838	1.5835348859626246	6.228062159544157	3.1806026880086686
CK8cRCbPRzdhrQZ	versicolor	4.044254372225062	1.4043907209159043	5.77673489487854	2.432077799976145
YlmIpkStw5mWwxr	versicolor	3.778708173234722	1.1925177446304405	6.404155449884369	2.1754550461591915
VBsso&DLWhoavWN	virginica	4.969315789994214	2.142619425305027	5.908939547372888	3.3003710234582155
uvhivHYmHKkbZbe	versicolor	4.710993109776221	1.4349675290334258	6.591511511134872	2.865489941857779
AYyUNGIOflHwKVz	virginica	6.071931131887528	2.3031342070529317	6.181593178583581	3.2032860863189407
azdzItv7n4Ob4VW	versicolor	3.9430886718439258	1.560527593111106	6.269947788669462	2.290974398229872
tBkU17D%pLZu2iq	virginica	5.215449720793379	2.3728069319589795	6.031984869458492	3.4514754669570915
ybv6JZso4wx5G9S	versicolor	4.452328388600909	1.3634199296991183	6.17550408265563	3.117512606631532
ZcmFr4G9gwtUFpH	setosa	1.2190580117020116	0.1896829911197327	4.918014758591201	4.122686426114318
GuCsuS1*XYdCoFw	versicolor	4.21459202771776	1.2040170588210737	5.1814537774434815	2.9008540773792078
phLLoXMzigjOK01	setosa	1.3850202823608495	-0.0033294127474513	4.633568789493831	3.5352922826568807
RCpoVUsSf1lcnsx	virginica	5.0539864049468255	1.9595961107676327	5.609392804253678	3.1736029382646995
CtcfDpZzV.zUpU#	setosa	1.454251982099107	0.1358851721158512	4.834725407808563	3.2221213966670845
F7QQBkULCQWsPPq	virginica	4.990617971492165	1.9252230839958648	6.056341355000353	3.414888144436975
xOTTfUDOENgKe&8	versicolor	3.8662175654707154	1.3571196576788669	5.543837996041044	3.264734999203428
kbk8teAExFXRVmo	virginica	5.074887927142052	1.9418734022950992	6.684440103561797	2.648808080694379
!bbMXD61MItc2AP	setosa	1.6897659112793977	0.2446827204980575	5.22487494335907	2.897025373106939
NCNzLLDGLZ0bFwT	virginica	5.605374220007039	1.9212443512240815	5.939927941553961	3.3571950282970064
MMThFbLqLZNZHmS	versicolor	4.841037935843913	1.1542305609176318	6.01052461420283	3.0847980682460414
Br4bELwbESkKF8n	versicolor	4.667458622127197	1.4269253675536342	6.552824660332783	3.6077690025269216
Lg1WLhnMAVEZD:P	versicolor	4.495551730012216	1.2584319925623713	5.334831016388134	2.6316736239402543
qSgUNnCRqwfjUwQ	versicolor	4.863421968958712	1.0561077054610906	6.170961072630393	3.1386129196658845
q#pD2AT3PSCsbXq	setosa	1.589088078089187	0.34902231299922	4.956150018865182	2.820965244653483
XcbgpAhaxcGF:TY	setosa	1.3846092570542614	0.2919745486629826	4.981945941032333	3.90672413130322
k1$h*pkrpRerFKW	setosa	1.4183774154848443	0.3107808964230184	4.92460798615698	3.225929840881756
NWclLZbZXUFUwwy	versicolor	3.817670199133892	1.6085363010567637	5.746575536452141	2.9225919448763005
wJbp*SLsgqwqU3h	virginica	5.569801976660786	2.2708713388370025	7.965389636557944	2.4067740724241102
NXVhqf3jYW5MMIj	virginica	5.6627088208805	1.8995452846708991	5.549108662085105	3.33892170615032
lLXMVuFWn1U4ULx	versicolor	3.7613344091643097	1.4138242882276888	5.327976873709575	2.71534217288572
KK9EaMpQsrECdpL	setosa	1.8396542010934565	0.1046530344181933	5.554717227087107	3.584776438176998
IFRBMj@rIwYkuUs	setosa	1.4731636845133282	0.1606834254550617	5.206872486878238	3.373597781186564
VrdbFFaZAUIQHVl	virginica	5.872442448311553	1.6769555350471572	6.333823724881769	2.587576224286648
hUPXl9dHXtPj0gy	virginica	6.20575569977561	1.8419537930774532	6.141439323313486	3.391970570781292
SylZS8kd9X8DUbH	virginica	4.967787984471268	2.1590771578158736	6.215109940694745	3.344308651981604
e5PXZ6N^x,fzIVp	setosa	1.5160708081192773	0.3824290900959412	5.250858694690527	3.429665728584302
BxP0GyckoyhXKHK	setosa	1.3648646632737556	0.3989084539098072	5.3085892956937455	4.1290649504323005
p0OCgbys%FW6v4R	versicolor	4.199051778348989	1.3495085492695684	5.65369993241325	2.240386439853882
HBdZ73PxIebCJqb	setosa	1.4344592665739502	0.3573162383133149	5.628667477938161	3.6626398304960186
qCESJwZSkwHLWHh	setosa	1.464938501090015	0.3141733831678585	5.046988111544253	3.26922920074708
UxNgFG8eGUaTcxH	setosa	1.294256204211527	0.2705229048223708	4.9720921231741295	3.866096598645004
BKJoXJgMBp8yDIL	virginica	4.140144790462912	1.7316007015489223	6.377286067361651	2.84719010819662
DbYlLG7eLvCcUQN	virginica	5.601432969704913	2.2213525289575946	5.842999999644746	3.0161250984042627
jucilB4DxLHmiIZ	setosa	0.9442313226957536	0.056531286898147	4.766985900427914	4.198153609819904
BICKlsaIqOVWeVT	virginica	5.602541915500306	1.759924161588922	6.941976364234012	3.4218957189067445
MitzkxJCK4SkgVM	setosa	1.6357495381032845	0.235072706801723	5.105745536201169	3.447593566816929
wRtDRvAQhOH4DML	virginica	5.515564452595633	1.8666067421421229	5.902312496494246	3.398532746466219
?2kdxdAXqj2PgYJ	versicolor	4.695759390758384	1.0878923267980198	6.547810886558152	2.5904562640615363
YSgDPqIzi12gdO1	setosa	1.4091618681512146	0.2136099127425261	5.190801364026091	3.647280211142046
iGHxuqbHuguAPn6	setosa	1.4046181285731083	0.0450554298591141	5.342462674960162	2.7364444211502086
jKFXR9RopGauVrJ	setosa	1.0490989185046624	0.2468791808895689	4.699627543888528	3.387363711584042
5NrKknveI5GUjCh	setosa	1.7962163122640118	0.2033236236343533	4.571254515481588	3.3152698811217647
ec?KQHUrCStKvKi	versicolor	4.76975910328094	0.9356461975438606	4.8446876619456365	2.4512139088221385
MN%Y!9LRNDRWvX@	versicolor	3.957957995578296	1.5428577126924152	5.9144791343159895	2.4997887777379617
UPVhwT9qrxvjLe.	setosa	1.4384623021822245	0.3285642475144936	4.840696943183231	3.1769816988678974
NcDYKGLi76YN7IL	setosa	1.5979414928839075	0.4435074702141377	5.054489549220171	3.377788272241913
ePT1KDkgrbju23u	setosa	1.3492771446218397	0.2912001512217935	5.273547956835837	3.841466966540141
zrAXdMPKBuvDzNV	versicolor	4.472859961448247	1.3812980122817924	5.518396367551679	2.9477736376969625
HTkRCaD7EEG&r0y	virginica	5.699212473660667	1.7416139252177565	7.1230752352509565	3.386528778459727
vfgAMrTcSf7HFRo	setosa	1.6201681078549304	0.5002356933135227	5.385517362712835	3.7639580086042463
Ss2wufGNBy5J0CC	virginica	4.799409334366594	1.975305865883904	7.345330881879279	2.568048350147613
JKRMlRaqxUpdB3L	versicolor	4.315050549752077	1.6055910414006502	5.915061302945653	2.2031964118305454
cmcq6CbyKmVTud9	virginica	5.325596361537874	2.0642927167956477	6.042646979726396	3.3039046528472493
SMZl9NeOMPKfX1t	setosa	1.5088403931043632	0.0955139756615887	4.331675837208651	4.057337175991811
kp^foFC3Z1axniM	virginica	5.680876956207838	2.3310702425974568	6.062755816507935	3.1744056176114444
kGMXXYQocROwxy0	versicolor	3.242209173738452	1.4426498944252102	5.753117011582009	3.1062805889371554
LMSSELt7DuSVsXB	virginica	5.049579130071371	2.453720606737143	6.618141258322518	3.007292467914077
VPLkQVV6xZwZjM8	versicolor	4.035701285834133	1.3483410376033709	5.681804305321211	2.398613129255096
BG6hTyBpU4beVAa	versicolor	4.328769952856086	1.496556121259205	5.7933558698086856	3.3472754270251475
lTdFg4sli3Pz8wj	virginica	6.24866539293196	1.863558788621851	6.650275349973909	3.159766796399779
YkBvRsNxkaMuaqN	versicolor	4.996474254447133	1.274395232753462	5.520372205541104	3.0064241634720945
lQCueDIqnAItdPv	virginica	5.398051372042995	2.384344735662128	6.689807230336441	2.6992625149342957
ZeRvOXuUJHOiLkh	setosa	1.631488028370676	0.3427422240665805	5.370046877141029	3.639836606351213
P5sqfeJ4F8Dokdt	virginica	5.519732308075451	1.6990332435468174	6.920229102806008	3.011735896681992
4FDEHair7AeL,rc	virginica	5.939850521622843	1.8995526103980445	6.019143789991949	2.9209591789019966
jj^HIXhCGHUrxDv	virginica	5.340194641784168	1.543413969480124	7.518594285799572	2.107798997707467
9G?aZNTm2KixCOp	virginica	5.644260287741905	1.9036587906534912	6.991825524288825	2.7518099296647733
2SZr6cWNlwqfcL!	versicolor	4.9664062725682685	0.982860959017922	6.029394107616927	1.7047475969696335
Exh9hqtDXoq7Hfu	setosa	1.399053555736793	0.2790107608972457	5.526611171233061	3.995778691087772
HdByHlLq0MzuYv8	versicolor	3.8844387064936607	1.408051240019688	5.454765307104185	2.2878800586960453
x0mNn4FWnVCefRb	virginica	5.3455154244285525	1.8593611434301975	6.078405465536874	2.9972011296964287
kzkn5q6TioixrLl	virginica	5.258997666477022	1.5626531679290163	6.478158982669269	3.035585122674086
kMuRQIlXRT6yvLe	versicolor	4.344251055615231	1.3146024815825346	6.386228654645218	2.898714540921043
ujmKvEdVckY%dah	versicolor	4.152353760178978	1.3981148585908882	6.3517008707371305	3.2813891515485216
:PhwtKDtnxtURYZ	versicolor	4.173585823257711	1.663387530681418	5.764890404371954	2.896253706169378
wsyRYqrFqXVEInH	versicolor	4.612066039850524	1.5216919475992594	6.188601423254362	2.8120575400032712
xckk*jnElcXwWrg	setosa	1.414573284567355	0.1928899734432028	5.041188334663035	4.038302471687008
tUqUuHPu5wwE9CX	versicolor	4.087612369057895	1.1140084613128296	5.330022833869821	3.047786236687516
NXi3OMZ5eaoDQqy	virginica	5.70841728308632	1.9534772318794649	6.065686544433856	2.566642375170764
tf3PjL7r2kawRnj	virginica	5.3526627648273415	1.89724196929927	5.283382049037467	3.120245827202875
2PWZqV7Hy^bBUxG	virginica	5.794727306335221	2.4045388388497377	6.991066621003373	2.641208440702982
Gma2dDDzpQIwUjr	virginica	5.384332493212649	1.6235629976609876	6.091804293590781	2.9137228974234426
qccBEqaZanXdnZU	setosa	1.2804170455960275	0.2645131945101512	4.822291446288284	3.617031227480527
VwfkCoD9NrrNWWN	virginica	5.424764037811479	2.1307966682954858	6.3073745681645885	2.936683617888904
HTr0HkqaFx80QtX	setosa	1.6978250137481918	0.208418204709805	4.779586921167806	3.1002311205858746
Gr&g0FkDuaVhPRO	setosa	1.4668741732959254	0.2878152800528083	5.36566403483761	3.92478040425886
EJDJtCKezUPePRJ	virginica	5.7694563461832296	2.095059219120213	6.764409158812592	3.050099226616206
Vc98KtQDXFu6mpq	setosa	1.4408643450550047	0.2597091242478442	4.699598579182247	2.9565044474327054
EntauMUpL1UxUot	virginica	5.760750156612599	2.2708278054134974	6.385078568660413	2.580850059460537
J4EZGDuAsshYBtq	setosa	1.3393895977657513	0.2499252486383122	5.362416822787964	3.009537557576139
6XmxRsStMiUUT5y	versicolor	3.559382504402148	1.2129589649723893	6.76324903330463	2.7787459081780312
pfQqM6uUambhJHJ	setosa	1.160223457973563	0.1406040807836283	4.927126410063313	3.716034337631191
vgOa.bKTWVSYrPR	versicolor	4.565926030896449	1.577499453208552	5.973409662909579	2.514028807936345
efK7BDnlXr8uCsr	virginica	5.610081244162081	2.1274917455678204	5.770217451403684	2.9050881264436974
Dg6LkF#AscyVtqZ	setosa	1.5858687337359143	0.102380495395553	5.317308622123228	3.225617274463936
hFKryyGPPzdH?Po	versicolor	4.114479955581124	1.5763805790342185	6.830949441195875	2.62513249811873
WbDHNnODC7DmznT	versicolor	4.076537383970962	1.5473231499247682	5.957917567133288	2.907215614349997
XQMFvRW6GC0Fiyf	setosa	1.5679894758291126	0.2383365879974612	4.918165947217082	3.1914858521015685
OdGVCXAogTKYlou	setosa	1.153406434085172	0.2532033704202482	5.118126249839811	3.092223393684626
RfhQcCqkgElTdgQ	setosa	1.9396531955928529	0.3843656186047768	4.672873653551415	3.195519471487485
KVOgLV6Q#yIYrjY	versicolor	5.10663854990058	1.5333974564643045	5.531415238430952	2.214054594183378
wRkfYyPTwUzYYb0	versicolor	3.6954707087288976	1.0781463835611529	6.74838459492944	2.3664394305754906
LJKQtCDGGuAeSd,	virginica	5.875652751914557	2.0364193313610275	6.38430464368836	2.604219524242904
